,Word,V.Mean.Sum,V.SD.Sum,V.Rat.Sum,A.Mean.Sum,A.SD.Sum,A.Rat.Sum,D.Mean.Sum,D.SD.Sum,D.Rat.Sum
211,affinity,5.86,1.32,22,4.29,2.33,21,6.55,1.9,22
212,affirmation,5.95,2.37,20,3.95,1.67,20,6.53,2.26,34
213,affirmative,5.94,2.04,18,3.64,2.13,22,6.78,1.88,23
214,affliction,3.76,1.92,21,5.1,2.25,20,4.17,2.38,36
215,afford,6.56,2.09,18,4.33,2.82,21,6.44,2.04,18
216,affordable,7.52,1.44,21,4.11,2.28,19,6.16,2.58,25
217,affront,4.53,1.17,19,4.5,2.46,20,5.04,1.9,24
218,afire,6.05,1.36,20,5.41,2.48,22,4.38,2.2,21
219,afloat,5.57,1.33,21,4.13,2.24,23,4.96,1.95,26
220,aforementioned,5.21,1.96,19,3.5,2.24,22,4.96,2.25,23
221,afraid,2.25,1.16,20,5.12,2.57,42,2.71,1.9,24
222,african,6.42,1.74,19,4.11,2.28,19,5.8,1.94,20
223,afterlife,5.53,2.52,19,4.32,2.9,22,5.86,2.92,22
224,aftermath,4.29,1.82,21,5.38,2.46,21,4.23,1.48,26
225,afternoon,6.68,1.43,22,3.48,2.09,21,5.71,1.53,17
226,aftershave,5.55,1.57,20,3.5,2.44,22,5.81,2.5,27
227,age,5.78,1.93,18,3.71,2.59,21,4.67,2.4,18
228,agency,5.14,1.46,21,3.17,1.97,23,4.89,2.37,18
229,agenda,5.05,2.01,21,3.62,2.26,24,5.36,2.52,22
230,agent,5.23,1.95,22,3.43,2.13,21,5.65,2.37,17
231,aggravate,2.55,1.19,20,5.9,2.19,21,4.85,2.56,33
232,aggravation,2.48,1.12,21,5.35,2.81,20,4.45,2.56,22
233,aggression,3.18,2.02,22,5.69,2.49,26,4.65,2.31,23
234,aggressive,3.08,1.5,37,5.87,2.53,23,5.49,2.59,35
235,aggressiveness,3.58,2.12,19,6.43,2.11,23,5.21,2.3,19
236,aggressor,2.8,1.01,20,6.55,1.57,20,4.57,2.73,21
237,agile,5.95,2.2,19,4.95,2.01,22,6.09,2.11,22
238,agility,6.55,1.19,20,4.21,2.29,42,6.41,2.02,44
239,aging,3,1.41,18,3.8,2.88,20,3.06,2.54,16
240,agitate,3.36,1.68,22,5.82,2.52,22,4.55,2.39,20
241,agitation,2.84,1.42,19,4.75,2.38,20,3.29,1.76,24
242,aglow,5.84,1.5,19,4.83,2.73,18,5.59,2.09,17
243,agonizing,2.68,1.49,19,6.71,1.95,21,4.04,2.01,23
244,agony,2.46,1.64,41,5.78,2.78,18,4,2.81,18
245,agree,7.17,1.58,18,3.62,2.09,21,6.94,1.3,18
